84042 silly lifecycle spmrc@1.2.0~preinstall: no script for preinstall, continuing
85059 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/thenify
85060 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/thenify-all
85061 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/mz
85062 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/koa-send
85063 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/koa-static
85064 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/fs-symlink
85065 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/throttleit
85066 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/request-progress
85067 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/through
85068 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/split
85069 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/pause-stream
85070 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/inquirer
85071 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/event-stream
85072 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/through2/node_modules/inherits
85073 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/thunkify
85074 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/scripts-hook
85075 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/time-stamp
85076 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/fancy-log
85077 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/timers-browserify
85078 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tiny-lr/node_modules/ms
85079 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tiny-lr/node_modules/debug
85080 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tiny-lr/node_modules/qs
85081 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/to-fast-properties
85082 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tough-cookie
85083 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/trim-newlines
85084 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/trim-right
85085 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/try-resolve
85086 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tryor
85087 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tty-browserify
85088 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tunnel-agent
85089 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/request
85090 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/less
85091 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/co-request
85092 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/phantomjs/node_modules/request
85093 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/type-check
85094 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/levn
85095 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/optionator
85096 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/escodegen
85097 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/type-is/node_modules/mime-db
85098 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/type-is/node_modules/mime-types
85099 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/type-is
85100 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/typedarray
85101 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/concat-stream
85102 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/typical
85103 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/array-back
85104 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/sort-array
85105 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uglify-js/node_modules/async
85106 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uglify-js/node_modules/source-map
85107 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uglify-to-browserify
85108 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uid-number
85109 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/underscore
85110 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/swig
85111 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uniq
85112 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-selector-parser
85113 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-minify-selectors
85114 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uniqid
85115 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-filter-plugins
85116 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uniqs
85117 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-zindex
85118 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-unique-selectors
85119 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-minify-params
85120 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-minify-font-values
85121 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-discard-unused
85122 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/unique-stream
85123 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/upper-case
85124 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/title-case
85125 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/swap-case
85126 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/is-upper-case
85127 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/constant-case
85128 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/camel-case
85129 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/upper-case-first
85130 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/pascal-case
85131 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/change-case
85132 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/urix
85133 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/source-map-resolve
85134 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/css
85135 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/css-resources
85136 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/url-loader
85137 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/url/node_modules/punycode
85138 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/url
85139 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/user-home
85140 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/home-or-tmp
85141 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/util-deprecate
85142 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/through2/node_modules/readable-stream
85143 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/util/node_modules/inherits
85144 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/util
85145 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/assert
85146 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/validate-npm-package-license
85147 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/normalize-package-data
85148 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/read-pkg
85149 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/read-pkg-up
85150 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/meow
85151 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/internal-ip
85152 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/dateformat
85153 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-untar2/node_modules/gulp-util
85154 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-untar2
85155 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vary
85156 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/koa
85157 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl
85158 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl-fs/node_modules/clone
85159 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl-fs/node_modules/graceful-fs
85160 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl-fs/node_modules/strip-bom
85161 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl-fs/node_modules/vinyl
85162 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vm-browserify
85163 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/node-libs-browser
85164 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/watchpack/node_modules/async
85165 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/watchpack
85166 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack-core
85167 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack-dev-middleware/node_modules/mime
85168 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack-dev-middleware
85169 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/camelcase
85170 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/esprima
85171 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/source-map
85172 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/supports-color
85173 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/uglify-js/node_modules/async
85174 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/wordwrap
85175 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/websocket-extensions
85176 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/websocket-driver
85177 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/faye-websocket
85178 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/tiny-lr
85179 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/weinre/node_modules/underscore
85180 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/weinre
85181 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/whet.extend
85182 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/svgo
85183 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/postcss-svgo
85184 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/cssnano
85185 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/css-loader
85186 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/which
85187 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/whoami
85188 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/win-spawn
85189 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/nico-spm
85190 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/window-size
85191 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/yargs
85192 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack/node_modules/uglify-js
85193 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/webpack
85194 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/html-minifier/node_modules/yargs
85195 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/html-minifier/node_modules/uglify-js
85196 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/html-minifier
85197 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/wordwrap
85198 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/wrappy
85199 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/once
85200 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-client/node_modules/glob
85201 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-client/node_modules/father
85202 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/npmconf
85203 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/phantomjs
85204 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/inflight
85205 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-webpack/node_modules/rimraf/node_modules/glob
85206 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-webpack/node_modules/rimraf
85207 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-webpack/node_modules/fs-extra
85208 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/glob-stream/node_modules/glob
85209 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/glob
85210 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/fileset
85211 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/commoner
85212 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/regenerator-babel
85213 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/react-tools
85214 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/father/node_modules/glob
85215 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/father
85216 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/xtend
85217 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl-fs/node_modules/through2
85218 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/through2
85219 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-util
85220 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/output-file-sync
85221 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/babel-core
85222 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-template/node_modules/through2
85223 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-template
85224 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-gunzip/node_modules/through2
85225 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/gulp-gunzip
85226 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/glob-stream/node_modules/through2
85227 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/glob-stream
85228 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/vinyl-fs
85229 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-client
85230 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/y18n
85231 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/defs/node_modules/yargs
85232 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/defs
85233 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/regenerator
85234 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-webpack/node_modules/babel-core
85235 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/babel-loader/node_modules/regenerator
85236 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/babel-loader/node_modules/babel-core
85237 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/babel-loader
85238 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-webpack
85239 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/spm-webpack-server
85240 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/yargs/node_modules/camelcase
85241 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/yargs
85242 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/uglify-js
85243 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/handlebars
85244 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/istanbul
85245 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/istanbul-instrumenter-loader
85246 silly finalize /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm
85247 silly doSerial build 959
85248 silly build abbrev@1.0.7
85249 info linkStuff abbrev@1.0.7
85250 silly linkStuff abbrev@1.0.7 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85251 silly linkStuff abbrev@1.0.7 is part of a global install
85252 silly linkStuff abbrev@1.0.7 is installed into a global node_modules
85253 verbose linkBins abbrev@1.0.7
85254 verbose linkMans abbrev@1.0.7
85255 silly build mime-db@1.22.0
85256 info linkStuff mime-db@1.22.0
85257 silly linkStuff mime-db@1.22.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/accepts/node_modules as its parent node_modules
85258 silly linkStuff mime-db@1.22.0 is part of a global install
85259 silly linkStuff mime-db@1.22.0 is installed into a global node_modules
85260 verbose linkBins mime-db@1.22.0
85261 verbose linkMans mime-db@1.22.0
85262 silly build mime-types@2.1.10
85263 info linkStuff mime-types@2.1.10
85264 silly linkStuff mime-types@2.1.10 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/accepts/node_modules as its parent node_modules
85265 silly linkStuff mime-types@2.1.10 is part of a global install
85266 silly linkStuff mime-types@2.1.10 is installed into a global node_modules
85267 verbose linkBins mime-types@2.1.10
85268 verbose linkMans mime-types@2.1.10
85269 silly build acorn@1.2.2
85270 info linkStuff acorn@1.2.2
85271 silly linkStuff acorn@1.2.2 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85272 silly linkStuff acorn@1.2.2 is part of a global install
85273 silly linkStuff acorn@1.2.2 is installed into a global node_modules
85274 verbose linkBins acorn@1.2.2
85275 verbose link bins [ { acorn: './bin/acorn' },
85275 verbose link bins   '/Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/.bin',
85275 verbose link bins   false ]
85276 verbose linkMans acorn@1.2.2
85277 silly gentlyRm /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/.bin/acorn is being purged
85278 verbose gentlyRm don't care about contents; nuking /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/.bin/acorn
85279 silly build acorn-babel@0.11.1-38
85280 info linkStuff acorn-babel@0.11.1-38
85281 silly linkStuff acorn-babel@0.11.1-38 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85282 silly linkStuff acorn-babel@0.11.1-38 is part of a global install
85283 silly linkStuff acorn-babel@0.11.1-38 is installed into a global node_modules
85284 verbose linkBins acorn-babel@0.11.1-38
85285 verbose linkMans acorn-babel@0.11.1-38
85286 silly build acorn-jsx@1.0.3
85287 info linkStuff acorn-jsx@1.0.3
85288 silly linkStuff acorn-jsx@1.0.3 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85289 silly linkStuff acorn-jsx@1.0.3 is part of a global install
85290 silly linkStuff acorn-jsx@1.0.3 is installed into a global node_modules
85291 verbose linkBins acorn-jsx@1.0.3
85292 verbose linkMans acorn-jsx@1.0.3
85293 silly build adm-zip@0.4.4
85294 info linkStuff adm-zip@0.4.4
85295 silly linkStuff adm-zip@0.4.4 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85296 silly linkStuff adm-zip@0.4.4 is part of a global install
85297 silly linkStuff adm-zip@0.4.4 is installed into a global node_modules
85298 verbose linkBins adm-zip@0.4.4
85299 verbose linkMans adm-zip@0.4.4
85300 silly build alphanum-sort@1.0.2
85301 info linkStuff alphanum-sort@1.0.2
85302 silly linkStuff alphanum-sort@1.0.2 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85303 silly linkStuff alphanum-sort@1.0.2 is part of a global install
85304 silly linkStuff alphanum-sort@1.0.2 is installed into a global node_modules
85305 verbose linkBins alphanum-sort@1.0.2
85306 verbose linkMans alphanum-sort@1.0.2
85307 silly build amdefine@1.0.0
85308 info linkStuff amdefine@1.0.0
85309 silly linkStuff amdefine@1.0.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85310 silly linkStuff amdefine@1.0.0 is part of a global install
85311 silly linkStuff amdefine@1.0.0 is installed into a global node_modules
85312 verbose linkBins amdefine@1.0.0
85313 verbose linkMans amdefine@1.0.0
85314 silly build mkdirp@0.3.0
85315 info linkStuff mkdirp@0.3.0
85316 silly linkStuff mkdirp@0.3.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/anima-template/node_modules as its parent node_modules
85317 silly linkStuff mkdirp@0.3.0 is part of a global install
85318 silly linkStuff mkdirp@0.3.0 is installed into a global node_modules
85319 verbose linkBins mkdirp@0.3.0
85320 verbose linkMans mkdirp@0.3.0
85321 silly build nopt@1.0.10
85322 info linkStuff nopt@1.0.10
85323 silly linkStuff nopt@1.0.10 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/anima-template/node_modules as its parent node_modules
85324 silly linkStuff nopt@1.0.10 is part of a global install
85325 silly linkStuff nopt@1.0.10 is installed into a global node_modules
85326 verbose linkBins nopt@1.0.10
85327 verbose link bins [ { nopt: './bin/nopt.js' },
85327 verbose link bins   '/Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/anima-template/node_modules/.bin',
85327 verbose link bins   false ]
85328 verbose linkMans nopt@1.0.10
85329 silly gentlyRm /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/anima-template/node_modules/.bin/nopt is being purged
85330 verbose gentlyRm don't care about contents; nuking /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules/anima-template/node_modules/.bin/nopt
85331 silly build ansi-regex@2.0.0
85332 info linkStuff ansi-regex@2.0.0
85333 silly linkStuff ansi-regex@2.0.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85334 silly linkStuff ansi-regex@2.0.0 is part of a global install
85335 silly linkStuff ansi-regex@2.0.0 is installed into a global node_modules
85336 verbose linkBins ansi-regex@2.0.0
85337 verbose linkMans ansi-regex@2.0.0
85338 silly build ansi-styles@2.1.0
85339 info linkStuff ansi-styles@2.1.0
85340 silly linkStuff ansi-styles@2.1.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85341 silly linkStuff ansi-styles@2.1.0 is part of a global install
85342 silly linkStuff ansi-styles@2.1.0 is installed into a global node_modules
85343 verbose linkBins ansi-styles@2.1.0
85344 verbose linkMans ansi-styles@2.1.0
85345 silly build any-promise@1.1.0
85346 info linkStuff any-promise@1.1.0
85347 silly linkStuff any-promise@1.1.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
85348 silly linkStuff any-promise@1.1.0 is part of a global install
85349 silly linkStuff any-promise@1.1.0 is installed into a global node_modules
85350 verbose linkBins any-promise@1.1.0
85351 verbose linkMans any-promise@1.1.0
85352 silly build arale@0.2.0
85353 info linkStuff arale@0.2.0
85354 silly linkStuff arale@0.2.0 has /Users/max/.nvm/versions/node/v5.6.0/lib/node_modules/spm/node_modules as its parent node_modules
